Serial_no.;time1;time2;(time1+time2)/2;mean(HR1);mean(HR2);mean(HR3);mean(HR4);RMSSD1;RMSSD2;RMSSD3;RMSSD4;stress/non-stress
110;11:35:01:218;11:35:05:585;11:35:3:401;106.032542857;102.078428571;101.938257143;101.473971429;1.33766244869;1.59653016351;1.25874328686;1.29997132058;0
111;11:35:01:375;11:35:05:742;11:35:3:558;105.648514286;101.448428571;102.418114286;100.970971429;1.32763665116;1.59653016351;1.25874328686;1.29997132058;0
112;11:35:01:531;11:35:05:898;11:35:3:714;105.007942857;101.175742857;102.765085714;100.467971429;1.52378543099;1.82466547326;0.494607090206;1.29997132058;0
113;11:35:01:687;11:35:06:054;11:35:3:370;104.367514286;101.1026;102.640914286;100.236285714;1.52378543099;1.82466547326;1.26298562568;0.582610898705;0
114;11:35:01:843;11:35:06:210;11:35:3:526;103.727085714;101.029457143;102.449057143;100.072428571;1.52378543099;1.82466547326;1.26298562568;0.58261651301;0
115;11:35:02:000;11:35:06:367;11:35:4:183;103.338428571;101.0376;102.2572;99.9085714286;1.59652812797;1.15749945492;1.26298562568;0.58261651301;0
116;11:35:02:156;11:35:06:523;11:35:4:339;102.708428571;101.4584;101.977114286;99.7447142857;1.59653016351;1.25874328686;1.16210865111;0.58261651301;0
117;11:35:02:312;11:35:06:679;11:35:4:495;102.078428571;101.938257143;101.473971429;99.6992;1.59653016351;1.25874328686;1.29997132058;0.830723656922;0
118;11:35:02:468;11:35:06:835;11:35:4:651;101.448428571;102.418114286;100.970971429;99.4716285714;1.59653016351;1.25874328686;1.29997132058;0.830727856326;0
119;11:35:02:625;11:35:06:992;11:35:4:808;101.175742857;102.765085714;100.467971429;99.2440571429;1.82466547326;0.494607090206;1.29997132058;0.830727856326;0
120;11:35:02:781;11:35:07:148;11:35:4:464;101.1026;102.640914286;100.236285714;99.0166285714;1.82466547326;1.26298562568;0.582610898705;0.830723918841;0
121;11:35:02:937;11:35:07:304;11:35:4:620;101.029457143;102.449057143;100.072428571;98.8799428571;1.82466547326;1.26298562568;0.58261651301;1.1711447177;0
122;11:35:03:093;11:35:07:460;11:35:5:276;101.0376;102.2572;99.9085714286;98.8799428571;1.15749945492;1.26298562568;0.58261651301;1.1711447177;0
123;11:35:03:250;11:35:07:617;11:35:5:433;101.4584;101.977114286;99.7447142857;98.8799428571;1.25874328686;1.16210865111;0.58261651301;1.1711447177;0
124;11:35:03:406;11:35:07:773;11:35:5:589;101.938257143;101.473971429;99.6992;98.9256;1.25874328686;1.29997132058;0.830723656922;0.82552482671;0
125;11:35:03:562;11:35:07:929;11:35:5:745;102.418114286;100.970971429;99.4716285714;99.6755428571;1.25874328686;1.29997132058;0.830727856326;2.38148502719;0
126;11:35:03:718;11:35:08:085;11:35:5:401;102.765085714;100.467971429;99.2440571429;100.3778;0.494607090206;1.29997132058;0.830727856326;2.58041127309;0
127;11:35:03:875;11:35:08:242;11:35:5:558;102.640914286;100.236285714;99.0166285714;100.961085714;1.26298562568;0.582610898705;0.830723918841;2.58041127309;0
128;11:35:04:031;11:35:08:398;11:35:6:214;102.449057143;100.072428571;98.8799428571;101.453485714;1.26298562568;0.58261651301;1.1711447177;2.4447981667;0
129;11:35:04:187;11:35:08:554;11:35:6:370;102.2572;99.9085714286;98.8799428571;104.759057143;1.26298562568;0.58261651301;1.1711447177;8.71331801603;0
130;11:35:04:343;11:35:08:710;11:35:6:526;101.977114286;99.7447142857;98.8799428571;108.064771429;1.16210865111;0.58261651301;1.1711447177;8.71331801603;0
