Time_Accel;AccelX;AccelY;AccelZ
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:028;0.019153614;9.653421;-0.076614454
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:145;0.6703765;9.80665;-0.4213795
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:264;0.019153614;10.649409;-0.7661445
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:383;0.4405331;9.461885;-0.15322891
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:573;0.5554548;9.902418;-0.4405331
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:680;0.21068975;9.615114;-0.17238252
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:798;0.9576807;9.404425;-0.21068975
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:28:905;-0.038307227;9.308656;0.095768064
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:023;0.5554548;9.270349;-0.21068975
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
