Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:34:468;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:476;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:484;11:31:34:374;-1.8579005;12.947843;-1.5131354
11:31:34:492;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:500;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:507;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:515;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:523;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:531;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:539;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:546;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:554;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:562;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:570;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:578;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:585;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:593;11:31:34:492;-1.2258313;11.741165;-2.0685902
11:31:34:601;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:609;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:617;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:625;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:632;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:640;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:648;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:656;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:664;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:671;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:679;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:687;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:695;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:703;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:710;11:31:34:595;-0.80445176;10.5919485;-1.8004397
11:31:34:718;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:726;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:734;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:742;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:750;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:757;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:765;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:773;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:781;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:789;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:796;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:804;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:812;11:31:34:716;-0.8619126;10.28549;-1.8004397
11:31:34:820;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:828;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:835;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:843;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:851;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:859;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:867;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:875;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:882;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:890;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:898;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:906;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:914;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:921;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:929;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:937;11:31:34:820;-1.1109096;10.879252;-1.9728222
11:31:34:945;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:34:953;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:34:960;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:34:968;11:31:34:939;-1.2066777;12.679692;-3.0454245
