Time_Biotrace;Time_Light;Lightning
11:31:14:515;11:31:14:490;502.02734
11:31:14:523;11:31:14:490;502.02734
11:31:14:531;11:31:14:490;502.02734
11:31:14:539;11:31:14:490;502.02734
11:31:14:546;11:31:14:490;502.02734
11:31:14:554;11:31:14:490;502.02734
11:31:14:562;11:31:14:490;502.02734
11:31:14:570;11:31:14:490;502.02734
11:31:14:578;11:31:14:490;502.02734
11:31:14:585;11:31:14:490;502.02734
11:31:14:593;11:31:14:490;502.02734
11:31:14:601;11:31:14:490;502.02734
11:31:14:609;11:31:14:490;502.02734
11:31:14:617;11:31:14:490;502.02734
11:31:14:625;11:31:14:623;496.11658
11:31:14:632;11:31:14:623;496.11658
11:31:14:640;11:31:14:623;496.11658
11:31:14:648;11:31:14:623;496.11658
11:31:14:656;11:31:14:623;496.11658
11:31:14:664;11:31:14:623;496.11658
11:31:14:671;11:31:14:623;496.11658
11:31:14:679;11:31:14:623;496.11658
11:31:14:687;11:31:14:623;496.11658
11:31:14:695;11:31:14:623;496.11658
11:31:14:703;11:31:14:623;496.11658
11:31:14:710;11:31:14:623;496.11658
11:31:14:718;11:31:14:623;496.11658
11:31:14:726;11:31:14:725;494.16162
11:31:14:734;11:31:14:725;494.16162
11:31:14:742;11:31:14:725;494.16162
11:31:14:750;11:31:14:725;494.16162
11:31:14:757;11:31:14:725;494.16162
11:31:14:765;11:31:14:725;494.16162
11:31:14:773;11:31:14:725;494.16162
11:31:14:781;11:31:14:725;494.16162
11:31:14:789;11:31:14:725;494.16162
11:31:14:796;11:31:14:725;494.16162
11:31:14:804;11:31:14:725;494.16162
11:31:14:812;11:31:14:725;494.16162
11:31:14:820;11:31:14:725;494.16162
11:31:14:828;11:31:14:725;494.16162
11:31:14:835;11:31:14:725;494.16162
11:31:14:843;11:31:14:725;494.16162
11:31:14:851;11:31:14:849;467.5893
11:31:14:859;11:31:14:849;467.5893
11:31:14:867;11:31:14:849;467.5893
11:31:14:875;11:31:14:849;467.5893
11:31:14:882;11:31:14:849;467.5893
11:31:14:890;11:31:14:849;467.5893
11:31:14:898;11:31:14:849;467.5893
11:31:14:906;11:31:14:849;467.5893
11:31:14:914;11:31:14:849;467.5893
11:31:14:921;11:31:14:849;467.5893
11:31:14:929;11:31:14:849;467.5893
11:31:14:937;11:31:14:849;467.5893
11:31:14:945;11:31:14:849;467.5893
11:31:14:953;11:31:14:849;467.5893
11:31:14:960;11:31:14:849;467.5893
11:31:14:968;11:31:14:965;488.3432
11:31:14:976;11:31:14:965;488.3432
11:31:14:984;11:31:14:965;488.3432
11:31:14:992;11:31:14:965;488.3432
11:31:15:000;11:31:14:965;488.3432
11:31:15:007;11:31:14:965;488.3432
11:31:15:015;11:31:14:965;488.3432
11:31:15:023;11:31:14:965;488.3432
11:31:15:031;11:31:14:965;488.3432
11:31:15:039;11:31:14:965;488.3432
11:31:15:046;11:31:14:965;488.3432
11:31:15:054;11:31:14:965;488.3432
11:31:15:062;11:31:14:965;488.3432
11:31:15:070;11:31:14:965;488.3432
11:31:15:078;11:31:14:965;488.3432
11:31:15:085;11:31:15:082;492.21442
11:31:15:093;11:31:15:082;492.21442
11:31:15:101;11:31:15:082;492.21442
11:31:15:109;11:31:15:082;492.21442
11:31:15:117;11:31:15:082;492.21442
11:31:15:125;11:31:15:082;492.21442
11:31:15:132;11:31:15:082;492.21442
11:31:15:140;11:31:15:082;492.21442
11:31:15:148;11:31:15:082;492.21442
11:31:15:156;11:31:15:082;492.21442
11:31:15:164;11:31:15:082;492.21442
11:31:15:171;11:31:15:082;492.21442
11:31:15:179;11:31:15:082;492.21442
11:31:15:187;11:31:15:082;492.21442
11:31:15:195;11:31:15:082;492.21442
11:31:15:203;11:31:15:082;492.21442
11:31:15:210;11:31:15:082;492.21442
11:31:15:218;11:31:15:082;492.21442
11:31:15:226;11:31:15:082;492.21442
11:31:15:234;11:31:15:231;496.11658
11:31:15:242;11:31:15:231;496.11658
11:31:15:250;11:31:15:231;496.11658
11:31:15:257;11:31:15:231;496.11658
11:31:15:265;11:31:15:231;496.11658
11:31:15:273;11:31:15:231;496.11658
11:31:15:281;11:31:15:231;496.11658
11:31:15:289;11:31:15:231;496.11658
11:31:15:296;11:31:15:231;496.11658
11:31:15:304;11:31:15:231;496.11658
11:31:15:312;11:31:15:231;496.11658
11:31:15:320;11:31:15:231;496.11658
11:31:15:328;11:31:15:231;496.11658
11:31:15:335;11:31:15:335;488.3432
11:31:15:343;11:31:15:335;488.3432
11:31:15:351;11:31:15:335;488.3432
11:31:15:359;11:31:15:335;488.3432
11:31:15:367;11:31:15:335;488.3432
11:31:15:375;11:31:15:335;488.3432
11:31:15:382;11:31:15:335;488.3432
11:31:15:390;11:31:15:335;488.3432
11:31:15:398;11:31:15:335;488.3432
11:31:15:406;11:31:15:335;488.3432
11:31:15:414;11:31:15:335;488.3432
11:31:15:421;11:31:15:335;488.3432
11:31:15:429;11:31:15:335;488.3432
11:31:15:437;11:31:15:335;488.3432
11:31:15:445;11:31:15:335;488.3432
11:31:15:453;11:31:15:335;488.3432
11:31:15:460;11:31:15:460;502.02734
11:31:15:468;11:31:15:460;502.02734
11:31:15:476;11:31:15:460;502.02734
11:31:15:484;11:31:15:460;502.02734
11:31:15:492;11:31:15:460;502.02734
11:31:15:500;11:31:15:460;502.02734
11:31:15:507;11:31:15:460;502.02734
11:31:15:515;11:31:15:460;502.02734
11:31:15:523;11:31:15:460;502.02734
11:31:15:531;11:31:15:460;502.02734
11:31:15:539;11:31:15:460;502.02734
11:31:15:546;11:31:15:460;502.02734
11:31:15:554;11:31:15:460;502.02734
11:31:15:562;11:31:15:460;502.02734
11:31:15:570;11:31:15:567;476.91132
11:31:15:578;11:31:15:567;476.91132
11:31:15:585;11:31:15:567;476.91132
11:31:15:593;11:31:15:567;476.91132
11:31:15:601;11:31:15:567;476.91132
11:31:15:609;11:31:15:567;476.91132
11:31:15:617;11:31:15:567;476.91132
11:31:15:625;11:31:15:567;476.91132
11:31:15:632;11:31:15:567;476.91132
11:31:15:640;11:31:15:567;476.91132
11:31:15:648;11:31:15:567;476.91132
11:31:15:656;11:31:15:567;476.91132
11:31:15:664;11:31:15:567;476.91132
11:31:15:671;11:31:15:567;476.91132
11:31:15:679;11:31:15:567;476.91132
11:31:15:687;11:31:15:567;476.91132
11:31:15:695;11:31:15:690;492.21442
