((time1+time2)*0.5);mean(AccX);var(AccX);kurtosis(AccX);EightythPercentile(AccX);mean(AccY);var(AccY);kurtosis(AccY);EightythPercentile(AccY);mean(AccZ);var(AccZ);kurtosis(AccZ);EightythPercentile(AccZ);mean(light);var(light);kurtosis(light);EightythPercentile(light);mean(speed);var(speed);kurtosis(speed);EightythPercentile(speed);mean(bearing);var(bearing);kurtosis(bearing);EightythPercentile(bearing);stress/non-stress
11:32:36:468;0.152134419186;0.309681819963;-0.22103780488539337;0.6512229;-0.717337030232;0.0607631079011;0.12589276623245693;-0.49799395;9.99767311964;0.0918818897806;2.0876394261060227;10.170568;657.823055554;19097.5494686;-1.209127054312261;787.39294;0.823327522643;0.105030097505;-1.1536720704077428;1.1026769;89.2597419554;48.5574187292;-0.9464750314107486;101.10171;0
11:32:36:625;0.2022758429;0.261465661223;0.21233542439857178;0.6512229;-0.727050649411;0.059772162129;0.20574368447119618;-0.49799395;9.99678385536;0.0913521723982;2.1496171245083717;10.170568;650.668764125;19765.0804601;-1.3083397952728624;787.39294;0.858529959429;0.104833290817;-1.082843466431899;1.1026769;88.6523976696;44.1325266796;-0.5774712643933855;91.756805;0
11:32:36:781;0.248518138614;0.210518974077;0.6812134183320602;0.6512229;-0.737927167089;0.0581340905568;0.3445849595806796;-0.49799395;9.99493689643;0.0919240088848;2.100353525161802;10.170568;638.85271275;22534.4836919;-1.2173515361440912;787.39294;0.893732396214;0.102158061017;-0.997255125373651;1.1026769;88.0450533839;38.9699004673;-0.0776226707664267;91.756805;0
11:32:36:937;0.235486840718;0.18624243422;0.8268897185362847;0.5554548;-0.750958465321;0.054706805848;0.6717513897256753;-0.61291564;10.0126881821;0.0879331378534;2.312649039714537;10.189722;626.471197393;25544.3737484;-1.2226893210010275;787.39294;0.928934833;0.0970044081062;-0.9018926461636254;1.3309675;87.4377090982;33.0695400922;0.5960253571762473;91.756805;0
11:32:37:093;0.220027138932;0.174087237946;1.0186961579800764;0.5554548;-0.753010638179;0.0544806061064;0.6949006535598601;-0.61291564;10.0126197661;0.0885784269968;2.2271162249836998;10.189722;612.5002515;28397.2225525;-1.2355000133785858;787.39294;0.970117088893;0.094777657659;-0.7861340268051693;1.3309675;87.1633691268;27.767881799;0.8126220590799189;91.756805;0
11:32:37:250;0.229535540539;0.178629070208;0.9241991132820861;0.5554548;-0.746170062696;0.0532321561267;0.8222209967454628;-0.61291564;9.99910964286;0.0856184538726;2.650351252224638;10.170568;599.155526857;31122.3181812;-1.2758853314373133;787.39294;1.01161407211;0.0894155382028;-0.8225782350885149;1.3309675;86.9065556982;22.389510284;0.5475464733040925;91.756805;0
11:32:37:406;0.232476988575;0.180469635822;0.8843964417282852;0.5554548;-0.737790356625;0.0567493123864;0.49311003195711134;-0.59376204;9.98204241071;0.0895677677605;2.405008087322445;10.170568;585.345621143;32882.029606;-1.2986461135427219;787.39294;1.05258604705;0.0811980030983;-1.1490624869537902;1.3309675;86.6664296;17.2053420307;-1.231241729799765;91.756805;0
11:32:37:562;0.236718145146;0.184399267921;0.7903185936475747;0.6512229;-0.730505142911;0.0596536400566;0.2670430784571196;-0.49799395;9.97855369107;0.0917502493273;2.2079351828212967;10.170568;571.758449196;34656.4460661;-1.2990366045010526;787.39294;1.08358286491;0.0815188135929;-1.108504423181379;1.3309675;86.7433627786;18.148384827;-1.2333817045053321;91.756805;0
11:32:37:718;0.239659592543;0.183916489957;0.8355752552235685;0.6512229;-0.729342243911;0.0600214229505;0.2295868874503033;-0.49799395;9.9725339875;0.0904347135097;2.399947689659176;10.170568;558.190258714;35773.5139995;-1.257784201414269;787.39294;1.11457968277;0.079918018653;-1.055371263206288;1.3309675;86.8202959571;19.0795901954;-1.252646071745829;91.756805;0
11:32:37:875;0.266337839764;0.187106916147;0.9719192990761609;0.6512229;-0.737277313411;0.0558755200353;0.45933617398633064;-0.5746084;9.9789641125;0.0878748590193;2.604386690240056;10.170568;544.444055357;37119.9476248;-1.1951936667051948;787.39294;1.14557650063;0.0763956182785;-0.9953533345615702;1.5072148;86.8972291357;19.9989581359;-1.2836112542062934;93.910934;0
11:32:38:031;0.2635332027;0.184444862386;1.040892327920841;0.6512229;-0.716174134679;0.0453986150906;0.17308352066822774;-0.5363012;9.99103771071;0.0732797130199;3.307214180146727;10.170568;528.600644857;37419.8727953;-1.0362512399992827;787.39294;1.17881086313;0.0727377781677;-0.9354590961456251;1.5072148;86.8794239107;20.141623095;-1.2288889527679383;93.910934;1
11:32:38:187;0.271263054057;0.188895512213;0.951624886706306;0.6512229;-0.732557316196;0.0466018130037;0.16861181511381407;-0.5746084;9.95775832411;0.0423704695549;0.07875249073859569;10.151415;512.533742464;36829.1961321;-0.8010660358396327;772.0021;1.21478000241;0.068858608449;-0.9804139662215579;1.5072148;86.7458273036;19.3203174073;-1.0404206365530775;93.910934;1
11:32:38:343;0.267569141971;0.184872011239;1.069979426613144;0.6512229;-0.741723689196;0.0439392270703;-0.2522028702339285;-0.59376204;9.95351717054;0.042835001375;-0.04730515830334836;10.151415;495.4323015;35689.7008426;-0.46540844387090363;699.4451;1.2507491417;0.0623918807683;-1.329569955753638;1.5072148;86.6122306964;18.4633156128;-0.8180286495407296;93.910934;1
11:32:38:500;0.277214354354;0.18397393186;1.2043437372418397;0.6512229;-0.705708054411;0.0499543266319;0.23475620410904652;-0.5363012;9.93210617232;0.0451490978117;-0.22957939107563474;10.132261;476.161072036;32790.3722176;-0.007921376778650568;556.2972;1.27726929634;0.0629831962001;-1.2854052914756315;1.5072148;86.7047089107;18.4749558819;-0.892526598617128;93.910934;1
11:32:38:656;0.276359282175;0.18373648416;1.2059829298771163;0.6512229;-0.697670377098;0.0511815854673;0.5428946458972552;-0.5363012;9.91308938304;0.0523052125701;-0.254842478919846;10.132261;457.737165929;29056.7789466;0.6522008565042428;520.18616;1.30378945098;0.0621678744273;-1.2266987973996641;1.5072148;86.797187125;18.4694917109;-0.9578506307679628;93.910934;1
11:32:38:812;0.262199288711;0.179339913033;1.2026204663124291;0.635899964;-0.683236761062;0.0693416545011;9.337642121431266;-0.56694696;9.94397457589;0.0781929316778;2.7859856956818465;10.151415;438.746269214;22972.1030409;1.3874896961722678;508.00882;1.33030960563;0.0599459154499;-1.1528579288463057;1.5072148;86.8896653393;18.4469230995;-1.0143565130339878;93.910934;1
11:32:38:968;0.251835815246;0.169927809349;1.387666463174913;0.63206923;-0.659739381759;0.106959795556;9.411637721373037;-0.5363012;9.96716412321;0.0734664088044;2.9041620782643083;10.170568;418.873409482;16265.6659591;1.375185378770417;502.02734;1.35682976027;0.0563173192679;-1.0773599639083167;1.6464398;86.9821435536;18.407250048;-1.062328785319302;93.910934;1
11:32:39:125;0.249236396104;0.167270828271;1.4536431287752087;0.5746084;-0.671915607152;0.110380183609;9.102362627668208;-0.5746084;9.96839542679;0.0740234476131;2.8168360941073285;10.170568;401.305202411;10839.1806303;-0.012997102263674343;498.07898;1.38606016848;0.0529064942921;-1.0388515993502812;1.6464398;86.7364259107;20.8018283011;-0.9850915960057978;93.910934;0
11:32:39:281;0.261446825009;0.16119042802;1.8725956493871836;0.5746084;-0.665895900884;0.120742021346;7.223508599996121;-0.5363012;9.94965225089;0.10120066695;4.5913862391987665;10.170568;388.242965625;8631.77808502;-0.6538646188617645;496.50906;1.4152905767;0.0477868357876;-1.176023466988805;1.6464398;86.4907082679;23.0756522342;-1.0020609127921563;93.910934;0
11:32:39:437;0.294007968755;0.14015095605;2.1869427628108475;0.63206923;-0.631795628366;0.143847400082;4.416950217731877;-0.40222588;9.94147777054;0.115767517639;4.903596074264026;10.170568;377.360093232;7066.68270987;-1.026276572603758;476.91132;1.43919594661;0.0456292786429;-1.172197489329863;1.6464398;86.3266988393;24.8390791125;-1.025091664279064;93.910934;0
11:32:39:593;0.360122137505;0.102497661147;1.3160332388309905;0.6512229;-0.655635038295;0.19115241232;6.096949462029537;-0.40222588;9.96579604554;0.151169895095;5.302780756362189;10.170568;368.767159732;6187.37453026;-1.2149427660950651;458.44977;1.46132630375;0.0439580283657;-1.0151792131317237;1.6464398;86.1899254821;26.4247936246;-1.0585308447392516;93.910934;0
11:32:39:750;0.39798472622;0.106654681738;1.9248274914871732;0.6512229;-0.672394450688;0.277131182239;5.059212248407203;-0.36391866;9.99743372411;0.197711182754;4.924386080459487;10.170568;362.223862714;5653.49532961;-0.8997774816102355;458.44977;1.48345666089;0.0413072726738;-0.8211118847452283;1.6464398;86.053152125;27.9730942342;-1.1041290835443982;93.910934;0
11:32:39:906;0.424115727202;0.0924755259331;2.217320170212502;0.6512229;-0.627041429795;0.324237190406;3.6583816160852853;-0.36391866;9.97096069018;0.223565331675;3.8261064842327235;10.170568;356.184032607;5186.21061956;-0.46072331387752996;451.2668;1.50558701804;0.0376770115675;-0.6003790690642608;1.7223269;85.9163787679;29.4839809413;-1.155956070533151;93.910934;0
11:32:40:062;0.416146455827;0.101766688991;1.8970769883708787;0.6512229;-0.603578253652;0.336434988911;3.3342177421948636;-0.22984336;9.98549690982;0.233387168299;3.311197118465528;10.208876;349.797528714;4577.35603974;0.10580634413853574;440.70264;1.52930287375;0.0337901245037;-0.42371668128817186;1.7223269;85.9107669143;29.7839378278;-1.1567829679595518;93.910934;0
11:32:40:218;0.419840367612;0.110984192345;1.5105006318940895;0.6512229;-0.619037957187;0.347590097615;2.9269791143856976;-0.22984336;10.0003067634;0.245103080401;2.7895634559799314;10.228029;343.81532225;4245.51547745;0.8707517415528852;345.01712;1.55387245946;0.0291250202823;-0.499671699239832;1.7223269;85.9757804857;29.4384799333;-1.1267512461544695;93.910934;0
11:32:40:375;0.428733117523;0.117064304695;1.3011523889372434;0.6512229;-0.605869847527;0.35149221195;2.8403385144915454;-0.21068975;10.0046163304;0.245663689043;2.7505272847252833;10.228029;337.762109143;3847.95444183;1.9696372001967246;342.3036;1.57681139804;0.0244292767012;-1.1574168054537821;1.7223269;86.0285097714;29.1533232127;-1.1003863761108252;93.910934;0
11:32:40:531;0.410913416023;0.136255283094;1.2251039347343262;0.6512229;-0.584903481923;0.357932581149;2.7149712366633167;-0.095768064;9.98867781161;0.253213866748;2.4877066170831235;10.228029;332.259021;3421.19317671;3.5572606739269945;340.95483;1.59322774804;0.0236339645279;-0.9792866985466877;1.7223269;86.0321019143;29.1397884075;-1.0990431694595224;93.910934;0
11:32:40:687;0.36959633388;0.200224038002;2.027052440544983;0.6512229;-0.599131881138;0.37154035226;2.3235377788351883;-0.095768064;9.99066159732;0.259511812346;2.238627490421721;10.228029;325.772515857;2487.28882783;6.689670019488233;334.29034;1.60964409804;0.0222996592599;-0.7616533378513135;1.7223269;86.0356940571;29.1262277953;-1.0976908946021287;93.910934;0
11:32:40:843;0.308612597416;0.316556363526;2.6837590920540686;0.6512229;-0.605219995387;0.375607016114;2.20201058979076;-0.095768064;10.0057450705;0.262677452818;2.0822272975483367;10.323798;320.037192857;1744.31949116;12.931289732621222;334.29034;1.62606044804;0.0204263608973;-0.5078517105521505;1.7906253;86.0392862;29.1126413761;-1.0963295328837626;93.910934;0
11:32:41:000;0.250878135487;0.397282584717;1.4738302410552357;0.6512229;-0.600123765798;0.375457404308;2.2199042820850874;-0.095768064;9.99339784554;0.264444415452;2.047601730406866;10.323798;312.368393893;505.246528334;28.56172805431789;327.242674;1.64281831661;0.0181314726254;-0.26112571272141283;1.7906253;86.0290182;29.176909522;-1.1023456888285916;93.910934;0
